Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
9021,10% Off Classic Drinks Discount,10ClassAlc,0,0,Each,1,Comps,,,Trafalgar
9022,12% Off Gold Drinks Disc,12GoldAlc,0,0,Each,1,Comps,,,Trafalgar
9020,12% Off Gold Food Discount,12GoldFood,0,0,Each,1,Comps,,,Trafalgar
9024,15% Off Founders Drinks Discount,15FndrDr,0,0,Each,1,Comps,,,Trafalgar
9023,15% Off Founders Food Discount,15FndrFood,0,0,Each,1,Comps,,,Trafalgar
1507,"2013 Demi-Sec, Hattingley Valley",013DemiSec,0,30,Each,1,Merchandise,,,Trafalgar
1508,2018 Hattingley Valley Rose,018HattRos,0,30,Each,1,Merchandise,,,Trafalgar
9062,2021 Christmas Gift Vouchers,XmasGift,0,0,Each,1,Comps,,,Trafalgar
9017,40% Staff Food Discount,F&B_40%,0,0,Each,1,Comps,,,Trafalgar
1292,Absolut Double,Abs50ml,0.91392,9.3,50ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
1291,Absolut Single,Abs25ml,0.45696,4.65,25ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
81,Absolut Vodka (Component),AbsBott,12.8,0,ML,0.0014,Alcohol,Alcohol - Spirits,Vodka,Casa Juilia plc
1293,Absolute Vodka,AbsButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
9034,Add On,AddOnButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
9035,Add On Sweet Potatoes,AddSWPotat,0,1.5,Each,1,Food,,,Trafalgar
179,Alcohol Free Brooklyn,AFBrooklyn,0.9225,5.5,Each,1,Alcohol,Alcohol - Beer,,Euroboozer Ltd
960,All 3 Cheeses,3Cheeses,0,12.5,Each,1,Food,Hot Food,,Trafalgar
388,Almond Milk,Almond,0,0,Each,1,Hot Drinks,,,Trafalgar
186,Amalfi Spritz,AmalfiSpri,1.295679,12.5,Each,1,Alcohol,,,Trafalgar
119,Amaretto Disaronno (Component),DisaroBott,13.8,0,ML,0.0014,Alcohol,Alcohol - Spirits,Liqueur,Casa Juilia plc
1409,Amaretto Disaronno Double,Disaro50ml,0.98532,4,50ml,1,Alcohol,Alcohol - Spirits,Liqueur,Trafalgar
334,Americano,Americano ,0.05992,2.9,G,1,Hot Drinks,Hot Drinks - Coffee,,Trafalgar
127,Angostura Bitters (Component),AngBott,9.3,0,ML,0.005,Alcohol,Alcohol - Spirits,Bitters,Casa Juilia plc
128,Angostura Orange Bitters (Component),AngOraBott,6.3,0,ML,0.01,Alcohol,Alcohol - Spirits,Bitters,Casa Juilia plc
23,Aperol (Component),AperolBott,10.25,0,ML,0.0014,Alcohol,Alcohol - Spirits,Aperatifs,Casa Juilia plc
813,Aperol Spritz,Aper Sprz,1.99675,12.5,Each,1,Alcohol,,,Enotria
1104,Apple Sultana Hazelnut Crumble,AppCrumble,0,7.5,Each,1,Food,Desserts,,Trafalgar
1052,Apple Tart,AppleTart,0,3.5,Each,1,Food,Desserts,,Trafalgar
44,Appletiser,Appletiser,0.66,4,Each,1,Soft Drinks,Soft Drinks - Glass Bottle,,Casa Juilia plc
9023,"Arancini, Aubergine, Thyme Feta (v)",AATFeta,0,8.5,Each,1,Food,Hot Food,Winter Menu,Trafalgar
9024,"Arancini, Beef Ragu",BeefRagu,0,8.5,Each,1,Food,Hot Food,Winter Menu,Trafalgar
411,Assorted Raisins,Raisins,1.95,4.1,Each,1,Confectionary,,,Trafalgar
1325,Auchentoshan Double,Auche50ml,2.55612,13.9,50ml,1,Alcohol,Alcohol - Spirits,Whisky Single Malt,Trafalgar
1324,Auchentoshan Single,Auche25ml,1.27806,6.95,25ml,1,Alcohol,Alcohol - Spirits,Whisky Single Malt,Trafalgar
1326,Auchentoshan Three Wood Single Malt,AucheButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
91,Auchentoshan Three Wood Whisky (Component),AucheBott,35.8,0,ML,0.0014,Alcohol,Alcohol - Spirits,Whisky Single Malt,Casa Juilia plc
1208,Aviation Gin,AviatButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
53,Aviation Gin (Component),AviatBott,24.95,0,ML,0.0014,Alcohol,Alcohol - Spirits,Gin,Casa Juilia plc
1207,Aviation Gin Double,Aviat50ml,1.78143,9.3,50ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1206,Aviation Gin Single,Aviat25ml,0.890715,4.65,25ml,1,Alcohol,Alcohol - Spirits,Gin,Trafalgar
1262,Bacardi Black Double,BacaBl50ml,1.162392,9.3,50ml,1,Alcohol,Alcohol - Spirits,Rum Dark,Trafalgar
1263,Bacardi Black Rum,BacaBlButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
72,Bacardi Black Rum (Component),BacaBlBott,16.28,0,ML,0.0014,Alcohol,Alcohol - Spirits,Rum Dark,Casa Juilia plc
